0.01,-0.7508670973805625,-0.7519741342582952,-0.0010863603304683595,-0.7508677640472292,100.00750895288155,100.00750895954873
0.02,-0.7514206158187725,-0.7530644945887635,-0.0010657639354326673,-0.7514129442124633,100.01502954163884,100.01502938818365
0.03,-0.7519685754088001,-0.7541382585241961,-0.0010452474047158657,-0.751952592246019,100.02256160200893,100.02256112240589
0.04,-0.752510996187536,-0.755195505928912,-0.001024810447345067,-0.7524867281139758,100.03010497048446,100.0301039994693
0.05,-0.7530478981353232,-0.7562363163762571,-0.001004452807873999,-0.7530153717242188,100.03765948431074,100.03765785737772
0.06,-0.7535793011758578,-0.7572607691841311,-0.000984174179791769,-0.7535385429323599,100.04522498148305,100.0452225348825
0.07,-0.7541052251770168,-0.7582689433639229,-0.0009639742921120182,-0.754056261535288,100.05280130074416,100.05279787147958
0.08,-0.7546256899501848,-0.7592609176560349,-0.0009438528716313254,-0.7545685472739981,100.06038828158141,100.06038370740681
0.09,-0.755140715250787,-0.7602367705276663,-0.0009238096318245465,-0.7550754198342873,100.0679857642241,100.06797988364156
0.1,-0.75565032077834,-0.7611965801594908,-0.0009038443061511592,-0.755576898845701,100.07559358964093,100.0755862418977
0.11,-0.7561545261766875,-0.7621404244656419,-0.0008839566058690431,-0.7560730038828715,100.0832115995372,100.08320262462331
0.12,-0.7566533510341039,-0.763068381071511,-0.0008641462711010956,-0.7565637544643359,100.0908396363523,100.09082887499781
0.13,-0.757146814883234,-0.763980527342612,-0.0008444130086674266,-0.7570491700541213,100.098477543257,100.09846483692945
0.14,-0.7576349372016528,-0.7648769403512795,-0.0008247565609137217,-0.7575292700602708,100.10612516415091,100.1061103550527
0.15,-0.7581177374116156,-0.7657576969121932,-0.0008051766457643157,-0.7580040738363278,100.11378234365978,100.11376527472558
0.16,-0.7585952348803147,-0.7666228735579576,-0.000785672996686493,-0.7584736006807381,100.12144892713295,100.12142944202715
0.17,-0.759067448920182,-0.767472546554644,-0.0007662453427082064,-0.7589378698373758,100.12912476064079,100.12910270375497
0.18,-0.7595343987887921,-0.7683067918973522,-0.0007468934017578676,-0.7593969004956486,100.13680969097211,100.13678490742244
0.19,-0.7599961036891505,-0.7691256852991101,-0.0007276169272888569,-0.7598507117899851,100.14450356563158,100.14447590125621
0.2,-0.7604525827697566,-0.769929302226399,-0.0007084156283510108,-0.7602993228012526,100.15220623283713,100.15217553419392
0.21,-0.7609038551248234,-0.77071771785475,-0.0006892892450785026,-0.760742752555654,100.15991754151759,100.15988365588122
0.22,-0.761349939794296,-0.7714910070998284,-0.0006702375153872279,-0.7611810200253408,100.16763734130988,100.16760011666965
0.23,-0.7617908557641483,-0.7722492446152157,-0.0006512601727533177,-0.7616141441287673,100.17536548255677,100.17532476761393
0.24,-0.7622266219663603,-0.772992504787969,-0.0006323569373325686,-0.7620421437307728,100.18310181630412,100.1830574604695
0.25,-0.7626572572791825,-0.7737208617253016,-0.0006135275648062662,-0.7624650376421114,100.19084619429862,100.19079804768994
0.26,-0.7630827805271418,-0.7744343892901079,-0.0005947717775531685,-0.7628828446204549,100.19859846898503,100.19854638242471
0.27,-0.763503210481343,-0.7751331610676611,-0.000576089320155453,-0.7632955833699415,100.20635849350394,100.20630231851644
0.28,-0.763918565859442,-0.7758172503878165,-0.0005574799260953225,-0.7637032725416133,100.21412612168919,100.21406571049863
0.29,-0.7643288653259129,-0.7764867303139118,-0.0005389433288564541,-0.76410593073338,100.22190120806536,100.22183641359305
0.3,-0.7647341274920962,-0.7771416736427682,-0.000520479288566316,-0.7645035764899907,100.22968360784543,100.2296142837074
0.31,-0.7651343709163543,-0.7777821529313346,-0.0005020875165078547,-0.7648962283038707,100.23747317692822,100.23739917743298
0.32,-0.7655296141042612,-0.7784082404478424,-0.0004837677794720451,-0.765283904614274,100.24526977189609,100.24519095204192
0.33,-0.7659198755086257,-0.7790200082273144,-0.00046551980206589754,-0.7656666238082732,100.25307325001238,100.2529894654852
0.34,-0.766305173529773,-0.7796175280293803,-0.0004473433377603995,-0.7660444042203332,100.26088346921908,100.26079457638993
0.35000000000000003,-0.7666855265155154,-0.7802008713671408,-0.0004292381267068981,-0.766417264132783,100.26870028813441,100.26860614405703
0.36,-0.7670609527614267,-0.7807701094938476,-0.00041120390239626943,-0.7667852217758384,100.27652356605043,100.27642402845902
0.37,-0.7674314705109095,-0.7813253133962439,-0.0003932404338454857,-0.7671482953274422,100.28435316293066,100.2842480902373
0.38,-0.767797097955304,-0.7818665538300894,-0.00037534743900550995,-0.7675065029140629,100.29218893940757,100.29207819070017
0.39,-0.7681578532340932,-0.7823939012690949,-0.00035752468467495,-0.7678598626100619,100.30003075678052,100.2999141918201
0.4,-0.7685137544349784,-0.7829074259537698,-0.0003397719154509889,-0.768208392438378,100.30787847701306,100.30775595623169
0.41000000000000003,-0.7688648195940301,-0.7834071978692209,-0.0003220888670495458,-0.7685521103705677,100.31573196273081,100.31560334722923
0.42,-0.7692110666958065,-0.7838932867362705,-0.00030447530183206625,-0.7688910343266304,100.32359107721905,100.32345622876421
0.43,-0.7695525136735122,-0.7843657620381025,-0.00028693096661895477,-0.7692251821754771,100.33145568442032,100.33131446544326
0.44,-0.7698891784090944,-0.7848246930047215,-0.0002694556015699717,-0.7695545717349811,100.33932564893226,100.33917792252565
0.45,-0.7702210787334239,-0.7852701486062914,-0.0002520489779304284,-0.7698792207718754,100.34720083600517,100.34704646592103
0.46,-0.7705482324263572,-0.7857021975842218,-0.00023471082476115096,-0.770199147002338,100.35508111153966,100.35491996218727
